label,path,prediction
vocals,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/vocals/01e2a5d1-d573-4710-ac35-3be86a5b8973.wav,chant
other_keys,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/other_keys/c3f0ee00-2d0e-418d-bb13-4361887c704a.wav,brass instrument
other_keys,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/other_keys/62e5e55f-184c-4980-9c98-60a543ecfcd3.wav,speech
guitar,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/guitar/da38d4c7-77ba-4998-b5bd-a9a550b9358c.wav,speech
guitar,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/guitar/001f56bb-5541-4291-b26c-53bd35bc4a4a.wav,speech
bass,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/bass/8ad34f81-9012-42ce-af6c-cb79af9d4d18.wav,speech
bass,moisesdb/moisesdb_v0.1/f97e0ccd-e2a1-4da9-b8b8-c58e11adc4d9/bass/5804626e-0806-4e9c-ab74-0950500bc7e0.wav,speech
drums,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/drums/99e87b15-2b31-44b3-9e55-131d1f9c444b.wav,drum
drums,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/drums/7dd6c0a7-68cc-4ab1-be15-7503a3379825.wav,drum machine
drums,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/drums/41c516bd-f3cd-4867-ba68-0242d0e43e35.wav,cymbal
vocals,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/vocals/28d08f20-dd7c-4454-9d38-b78ab680ae89.wav,speech
guitar,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/guitar/b69f80a2-03d1-4317-9509-623c3e01dee5.wav,speech
bass,moisesdb/moisesdb_v0.1/169628c5-266d-4e11-993b-440fa5fa2167/bass/10868c54-9064-46da-b97b-ab5e39e0bff9.wav,guitar
piano,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/piano/c4a3c530-1639-4c73-a837-62e279b3062d.wav,guitar
piano,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/piano/b800c821-fa31-4c28-9bc0-088ff345a5fa.wav,harpsichord
drums,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/drums/46a8a896-923c-4ae1-aa00-8778d127f475.wav,drum
drums,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/drums/cd87708d-66b3-42b0-b373-7f43b32906b4.wav,cymbal
drums,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/drums/17c63e8f-0074-45c5-9c9b-b1fd9e6cb1d7.wav,drum machine
drums,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/drums/77d6f9cb-ccc0-42d3-9bd3-973c090429dc.wav,speech
drums,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/drums/2e051a20-806a-4060-ac1d-6a5a01ebca08.wav,hi-hat
vocals,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/vocals/6b6c458d-b1f0-4c37-b7fd-342de77cb7a3.wav,guitar
guitar,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/guitar/dff9a545-7ec9-4385-ad6c-139e9e50d9b2.wav,acoustic guitar
bass,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/bass/aceafad1-10df-4b89-aaa0-bdc6f2732dce.wav,bass guitar
percussion,moisesdb/moisesdb_v0.1/9ac2612b-e25f-4d27-8d43-b957e7e5a74b/percussion/50252323-446a-4d08-9dea-fdc5986e6812.wav,speech
drums,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/drums/dc6ea144-91f2-49f1-b6e7-3aabcb0820c9.wav,drum kit
drums,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/drums/1a1bcc19-c2ba-4308-9e04-e8c26465632e.wav,cymbal
drums,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/drums/e1755de5-949e-4033-b0c8-90e90ccba594.wav,drum machine
drums,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/drums/4132abe4-7995-40bd-8e0f-05337a79c0ec.wav,drum
drums,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/drums/dab8d6f4-482c-4e72-a5fb-79edd911e17e.wav,speech
vocals,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/vocals/5c9bcdab-c37d-450f-9961-485054067cee.wav,singing
vocals,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/vocals/b8486cf7-9ede-4d39-83ad-80949bb4596d.wav,speech
guitar,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/guitar/8ad7b901-ef88-452e-bc62-2a2ef8a61543.wav,guitar
bass,moisesdb/moisesdb_v0.1/9ce23a79-20eb-431a-80d2-eda3260ef503/bass/ae361de0-aad2-4c07-8a78-519ab0f7eae7.wav,guitar
piano,moisesdb/moisesdb_v0.1/1e957e76-d7a2-4b84-bc4a-afa87979ff57/piano/a14d4f80-80c8-48f7-936f-3d0489c80b6c.wav,piano
piano,moisesdb/moisesdb_v0.1/1e957e76-d7a2-4b84-bc4a-afa87979ff57/piano/4cef8f32-ce16-43cd-a20c-e56ea63a9464.wav,speech
drums,moisesdb/moisesdb_v0.1/1e957e76-d7a2-4b84-bc4a-afa87979ff57/drums/875f144d-2732-4b18-b550-273907de10fb.wav,speech
vocals,moisesdb/moisesdb_v0.1/1e957e76-d7a2-4b84-bc4a-afa87979ff57/vocals/98df5faa-ecf9-4a95-88ef-4b06fa09e85d.wav,speech
bass,moisesdb/moisesdb_v0.1/1e957e76-d7a2-4b84-bc4a-afa87979ff57/bass/50846dfb-d8ff-47fa-8f5f-377d9d08f89f.wav,double bass
other_plucked,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/other_plucked/42e0fd70-ca0c-4409-9faa-255861dc6f95.wav,speech
piano,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/piano/0e9c8dfe-879c-4c00-901f-e1305892d581.wav,electric piano
bowed_strings,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/bowed_strings/1ce814aa-7a14-4506-bc35-37d6169e3e96.wav,cello
drums,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/drums/9c0488e4-bb94-4611-ad74-95db9119a3b7.wav,speech
drums,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/drums/748f6e5d-d62e-491f-ab3e-3a312c637867.wav,speech
drums,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/drums/715734ef-af34-4741-a3af-ec3d8f3750d4.wav,speech
drums,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/drums/c0989d5b-999e-4952-a557-9d844affb46c.wav,speech
drums,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/drums/a477c7ad-3adf-46d8-95fb-09e32051e7e5.wav,speech
vocals,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/vocals/e330e5da-bb70-4b17-b463-c6944b9bef58.wav,speech
vocals,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/vocals/e9562730-a9f2-4483-ba3d-82d407765d01.wav,speech
wind,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/wind/ee904ef5-e98b-4e75-98f2-b588348fe960.wav,speech
guitar,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/guitar/57df7229-0091-4a74-98ec-7ad6a684335f.wav,speech
guitar,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/guitar/5db200c8-2de9-42d2-be0e-2d416b9dd0f3.wav,guitar
bass,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/bass/c07e9c4b-b981-4e30-8a61-21649e807221.wav,speech
percussion,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/percussion/0223285e-2b85-4872-acae-221274a61a04.wav,tubular bells
percussion,moisesdb/moisesdb_v0.1/312bec8d-1c61-43e0-924a-1fb87ddc3e41/percussion/66cbd7fc-2448-4fc8-ba7b-ca16a4149d86.wav,speech
other_plucked,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/other_plucked/a40498db-6e80-4a8b-ac73-16e30c8e90bd.wav,speech
piano,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/piano/3aef2388-5c6a-4862-ae4a-3e68012218ff.wav,piano
bowed_strings,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/bowed_strings/dcd8cd51-9627-408c-be5d-f0cd46aa47f7.wav,speech
drums,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/drums/31e7920b-7fe6-4554-8aa2-f0a8d9ed6e71.wav,speech
drums,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/drums/e986c922-bcaa-4965-8625-b6281a97fa31.wav,speech
vocals,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/vocals/80971c56-c79e-4476-9ab4-f5a17320628c.wav,speech
vocals,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/vocals/6b8e27db-6bf5-4b06-bb50-38eade75610d.wav,speech
other_keys,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/other_keys/9af5bf3c-0639-44f7-957d-7bf55355734d.wav,speech
other_keys,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/other_keys/0038e34f-82a7-4889-b9c2-11df84a5e131.wav,speech
wind,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/wind/ec26228a-bba5-4c7d-a887-7559d98f6f15.wav,speech
guitar,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/guitar/7a6942ac-10f5-4d1d-9d19-2e64c42cec41.wav,speech
guitar,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/guitar/fb0e92a8-b45d-45c6-b2d6-39776b90ce10.wav,speech
guitar,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/guitar/91d6897c-7287-4382-ab54-f9a7f4b5877a.wav,speech
guitar,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/guitar/20ff6891-10fe-4015-b9c3-a7c22fd5a40c.wav,singing bowl
bass,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/bass/d57f737f-0a69-4a72-ba7f-45105c1030ef.wav,speech
percussion,moisesdb/moisesdb_v0.1/6b168ae6-9d8a-4dc2-9d27-898e6871bf8b/percussion/da4a8eac-5200-4291-8f07-f8afc86c3fad.wav,speech
drums,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/drums/4efce4d4-b171-4220-9eab-be1cc6f68d37.wav,cymbal
drums,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/drums/8df174d7-dc9e-4645-a799-e9b62b98b853.wav,drum
drums,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/drums/b4b42df3-9d7f-4cf7-996e-15c85b4b9fe9.wav,drum
vocals,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/vocals/7e86617e-1864-47f1-9f9e-472743eeac24.wav,speech
vocals,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/vocals/386e6380-7fd2-450f-b0ed-a06c84650758.wav,speech
guitar,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/guitar/b1653e5c-bc3f-4bd2-899f-297e20e37718.wav,speech
guitar,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/guitar/bf3a04b5-a2af-43a7-a803-f647e18b4ae9.wav,speech
bass,moisesdb/moisesdb_v0.1/2b4e8304-c92d-4347-b09e-cfb9b3e29bf2/bass/6407cc7e-b870-4184-9fd6-47c300c0657e.wav,guitar
piano,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/piano/7e554d96-e7e6-4b2f-a2f4-fc601289b3e7.wav,speech
bowed_strings,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/bowed_strings/9aa3c81c-269e-415d-b2c8-aaa4d209f796.wav,speech
drums,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/drums/9cb665f0-7d4f-4bf2-8636-323bbabaeaa8.wav,drum
drums,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/drums/e40eb3a2-2fec-4dae-8041-0d653bb30cf9.wav,speech
drums,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/drums/d49deb85-dea3-47b6-b4aa-d4ede32bfeac.wav,drum
drums,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/drums/57673447-2eb8-4965-90d7-473bbdb41699.wav,drum machine
vocals,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/vocals/8308f1bf-e064-425a-9a90-c1e6344f741c.wav,speech
wind,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/wind/b4fbfd60-4579-48df-bcc6-e608ce27eb8c.wav,speech
guitar,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/guitar/9ec1f9ef-ccb4-448c-b491-9448fd9cfa07.wav,guitar
guitar,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/guitar/b34f48ee-af64-4595-8385-5964f9b2c504.wav,acoustic guitar
bass,moisesdb/moisesdb_v0.1/8f36f17f-c033-4c1b-a793-80dce43d507b/bass/a2852e09-46de-4b66-9e20-1e5f13d0b899.wav,synthesizer
piano,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/piano/8e42fe4f-678b-408c-a80c-b0a658779bbb.wav,keyboard (musical)
drums,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/drums/dc565bbb-74e6-4b28-87e7-2735f73ed1b7.wav,drum
drums,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/drums/561130c7-d5b0-4ca3-8f13-0874170602ac.wav,drum
drums,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/drums/75c025a0-66b0-4cd1-8e5b-f3c048ef5dcf.wav,drum
drums,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/drums/aec4b475-522b-40b8-83a5-b922b9f2c9db.wav,drum
drums,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/drums/960c8ec9-d16e-4dcb-b3c1-efb7812e76aa.wav,drum
vocals,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/vocals/7a6f12b8-2727-4b89-a11a-a41973b75fb5.wav,speech
other_keys,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/other_keys/88bd62d9-81ba-4be4-b562-e94fbb5d8226.wav,speech
guitar,moisesdb/moisesdb_v0.1/bc964128-da16-4e4c-af95-4d1211e78c70/guitar/45116704-65ad-4705-8a1f-00570b0b5736.wav,acoustic guitar
